Location,Rep,block,Geno,area_mm2,perimeter_mm,majellipse_mm,minellipse_mm,color 1,COLOR 2,COLOR 3,PMG,Moisture FLOUR,Water Abs,Protein  FLOUR,PEAK TIME MINUTES,PEAK VALUE %,PEAK WIDTH %,"PEAK INTEGRAL %TQ*MIN,",SCORE mixo,SDS sedimentation,Hardness Nir,Protein grain NIR,Moisture grain NIR,rendement de la farine,Fe mg/Kg,Zn mg/Kg,Se mg/Kg,Extraction 1,Extraction 2,Extraction 3, Quantité de farine (gramme)(calculer),Glu- A1, Glu-B1,Glu-D1,Payne et all,Branlard & Dardevet
KEF,1,2,18,12.8,18.4,6.2,2.6,175.8,133.5,106.1,23.5,11.561,60.482,12.49,2.93,73.127,32.254,134.622,2,8,51.225,11.878,10.108,78.10441451,26.94215775,33.67390807,0.260024201,,,,322.93,0,7,2+12,4,15
KEF,1,2,19,13.8,19.1,6.3,2.8,181.7,139.2,111.5,27.6,12.222,56.536,12.665,2.95,56.971,23.491,113.142,3,7.5,46.79,11.777,10.187,75.37478666,39.80673604,35.48074133,0.188542792,,,,326.26,0,17+18,2+12,6,25
KEF,1,2,20,14.5,19.2,6.3,2.9,174.6,132.9,107.5,30.9,10.991,62.027,12.101,4.09,62.638,25.073,159.286,4,9,45.441,13.08,10.049,77.03607945,34.8461814,29.54866018,0.241106722,,,,362.46,0,17+18,2+12,6,25
KEF,1,2,21,14.6,19.4,6.4,2.9,175.8,133.1,105.9,30.5,11.316,59.634,12.365,3.21,67.371,28.209,132.666,3,11,49.32,11.891,10.238,78.97336822,29.8361109,27.94354777,0.314963119,,,,317.50,0,7+9,2+12,5,27
KEF,1,2,22,13.8,19.0,6.4,2.8,178.0,136.7,109.4,26.7,11.266,60.893,12.713,2.78,63.682,27.782,109.787,2,9.5,50.76,11.879,10.272,76.47578641,24.44682949,30.43876797,0.245092386,,,,372.42,0,7,2+12,4,15
KEF,1,2,23,13.8,19.4,6.5,2.7,179.5,136.8,109.1,26.2,11.33,60.714,12.605,2.31,63.188,28.251,89.67,2,10.5,52.446,12.232,10.193,75.42921358,17.28680752,30.04137473,0.208340663,,,,374.44,1,7,2+12,6,30
KEF,1,2,24,14.0,19.1,6.3,2.8,175.4,133.7,106.9,28.3,11.217,61.959,12.696,2.95,60.876,28.771,111.991,2,11.5,51.89,12.241,10.159,75.80420415,25.35607595,29.56761074,0.257104347,,,,331.35,1,17+18,2+12,8,40
KEF,2,3,21,15.2,19.7,6.5,3.0,173.7,132.2,105.3,32.7,11.316,60.673,12.181,3.16,69.367,30.021,137.855,3,12,51.441,12.094,10.113,76.32291358,32.87837426,26.33932782,0.280658991,,,,333.76,0,7+9,2+12,5,27
KEF,2,3,13,14.4,19.2,6.4,2.9,179.2,135.4,106.3,30.4,11.551,61.829,13.268,4.97,57.816,25.682,177.739,4,10.5,54.398,11.752,10.432,77.08484259,33.75369783,37.91852136,0.333281222,,,,330.09,2*,7+8,2+12,,52
KEF,2,3,18,12.5,18.3,6.2,2.6,191.3,147.0,116.2,22.7,11.558,62.012,12.732,2.92,61.846,23.946,118.102,2,8.5,54.394,11.83,10.333,74.80855103,21.35113211,30.02810934,0.285325973,,,,347.55,0,7,2+12,4,15
